###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59602.515744  22.839  7.077     3   19 o  0   1.19 190.74695  48.37041  1158.26  2004.41 2.93 2.76 -47.3 -0.525 18.99 20.10 01a59602o0697o
59602.521338 -24.880 45.500    -0   18 o  0   1.15 190.74695  48.37041  1138.12  1965.96 2.92 2.77 -50.1 -0.525 19.02 20.13 01a59602o0709o
59602.547125 -21.598  2.196    -8   18 o  0   1.20 190.74695  48.37041  1206.25  2041.92 2.70 2.68  24.4 -0.524 19.04 20.17 01a59602o0764o
59602.550820  20.461  0.846    24   20 o  0   0.75 190.74695  48.37041  1228.27  1920.40 2.82 2.71 -52.2 -0.528 19.04 20.17 01a59602o0772o
59604.592853 -23.432  6.500    -2   10 o  0   1.29 190.74695  48.37041  1182.59  3000.49 2.07 2.05  67.8 -0.452 19.42 20.61 02a59604o0842o
59604.594682  21.340  1.155    11   12 o  0   0.84 190.74695  48.37041  1200.82  3039.78 2.10 2.01  42.2 -0.456 19.46 20.62 02a59604o0846o
59604.597424  20.984  0.824    15   12 o  0   0.99 190.74695  48.37041  1143.53  2959.91 2.07 2.02  30.7 -0.450 19.45 20.61 02a59604o0852o
59604.602479 -23.077  6.611    -2   14 o  0   1.01 190.74695  48.37041  1125.83  3076.38 2.18 2.13 -66.3 -0.441 19.42 20.57 02a59604o0863o
59605.579685  20.065  0.328    34   11 o  0   1.22 190.74695  48.37041  1179.02  3001.82 2.14 2.02  40.5 -0.457 19.42 20.66 02a59605o0815o
59605.586829  21.633  1.353     8   11 o  0   1.08 190.74695  48.37041  1191.83  3038.27 2.38 1.96  35.4 -0.442 19.38 20.65 02a59605o0830o
59605.589617 -20.162  0.361   -31   11 o  0   0.93 190.74695  48.37041  1143.16  2958.47 2.04 1.97  42.6 -0.458 19.46 20.64 02a59605o0836o
59605.595101  20.972  0.684    15   10 o  0   1.51 190.74695  48.37041  1122.41  3075.50 2.07 2.04  50.6 -0.454 19.47 20.63 02a59605o0848o
59608.507512 -22.783  3.609    -3   10 o  0   1.13 190.74695  48.37041  1168.64  3004.76 2.21 2.13 -58.5 -0.450 19.54 21.06 02a59608o0674o
59608.512860  22.097  2.261     5   12 o  0   0.84 190.74695  48.37041  1181.71  3042.99 2.13 2.09 -62.9 -0.447 19.58 21.04 02a59608o0684o
